seg_id	poem_id	text	sub_title	title	poetry_book	poet	annotator_01	annotator_02	annotator_03	annotator_04	annotator_05
1	1	죽는 날까지 하늘을 우러러 한 점 부끄럼이 없기를, 잎새에 이는 바람에도 나는 괴로워했다. 별을 노래하는 마음으로 모든 죽어가는 것을 사랑해야지 그리고 나한테 주어진 길을 걸어가야겠다.  오늘 밤에도 별이 바람에 스치운다.		서시	하늘과 바람과 별과 시	윤동주	불안/걱정, 비장함, 서러움, 슬픔, 안타까움/실망, 부끄러움, 죄책감, 패배/자기혐오	패배/자기혐오, 서러움, 비장함, 부끄러움, 아껴주는, 슬픔, 불안/걱정, 죄책감	깨달음, 흐뭇함(귀여움/예쁨), 고마움, 힘듦/지침, 안타까움/실망	비장함, 뿌듯함, 슬픔	비장함, 감동/감탄, 깨달음, 서러움
2	2	산모퉁이를 돌아 논가 외딴 우물을 홀로 찾아가선 가만히 들여다봅니다. 우물 속에는 달이 밝고 구름이 흐르고 하늘이 펼치고 파아란 바람이 불고 가을이 있습니다.  그리고 한 사나이가 있습니다. 어쩐지 그 사나이가 미워져 돌아갑니다.  돌아가다 생각하니 그 사나이가 가엾어집니다. 도로 가 들여다보니 사나이는 그대로 있습니다.  다시 그 사나이가 미워져 돌아갑니다. 돌아가다 생각하니 그 사나이가 그리워집니다.  우물 속에는 달이 밝고 구름이 흐르고 하늘이 펼치고 파아란 바람이 불고 가을이 있고 추억처럼 사나이가 있습니다.		자화상	하늘과 바람과 별과 시	윤동주	불쌍함/연민, 아껴주는, 신기함/관심, 흐뭇함(귀여움/예쁨), 서러움, 짜증, 지긋지긋, 안타까움/실망	신기함/관심, 증오/혐오, 불쌍함/연민, 화남/분노, 서러움, 슬픔, 아껴주는, 패배/자기혐오	안타까움/실망, 서러움, 슬픔, 깨달음, 흐뭇함(귀여움/예쁨)	불평/불만, 안타까움/실망, 의심/불신, 슬픔	불쌍함/연민, 불안/걱정
3	3	쫓아오든 햇빛인데 지금 교회당 꼭대기 십자가에 걸리었습니다.  첨탑(尖塔)이 저렇게도 높은데 어떻게 올라갈 수 있을까요.  종소리도 들려 오지 않는데 휘파람이나 불며 서성거리다가  괴로웠던 사나이 행복한 예수 그리스도에게 처럼 십자가가 허락된다면  모가지를 드리우고 꽃처럼 피어나는 피를 어두워 가는 하늘 밑에 조용히 흘리겠습니다.		십자가	하늘과 바람과 별과 시	윤동주	서러움, 패배/자기혐오, 존경, 감동/감탄, 비장함, 불쌍함/연민, 불안/걱정, 죄책감	감동/감탄, 놀람, 불쌍함/연민, 비장함, 슬픔, 행복, 아껴주는, 불안/걱정	절망, 깨달음, 서러움, 힘듦/지침, 존경, 비장함	당황/난처, 힘듦/지침, 놀람, 슬픔, 불안/걱정	깨달음, 비장함, 존경, 신기함/관심
4	4	바람이 어디로부터 불어 와 어디로 불려 가는 것일까  바람이 부는데 내 괴로움에는 이유가 없다.  내 괴로움에는 이유가 없을까  단 한 여자를 사랑한 일도 없다. 시대를 슬퍼한 일도 없다.  바람이 자꼬 부는데 내 발이 반석 우에 섰다.  강물이 자꼬 흐르는데 내 발이 언덕 우에 섰다.		바람이 불어	하늘과 바람과 별과 시	윤동주	슬픔, 서러움, 한심함, 패배/자기혐오, 죄책감, 부끄러움	비장함, 서러움, 슬픔, 불안/걱정, 패배/자기혐오, 죄책감	힘듦/지침, 안타까움/실망, 서러움, 절망, 깨달음	힘듦/지침, 당황/난처, 불안/걱정, 불평/불만, 슬픔, 부끄러움, 패배/자기혐오	깨달음, 불쌍함/연민, 불안/걱정, 서러움, 패배/자기혐오, 힘듦/지침
5	5	고향에 돌아온 날 밤에 내 백골(白骨)이 따라와 한방에 누웠다.  어둔 방은 우주로 통하고 하늘에선가 소리처럼 바람이 불어 온다.  어둠 속에 곱게 풍화작용(風化作用)하는 백골을 들여다보며 눈물짓는 것이 내가 우는 것이냐 백골이 우는 것이냐 아름다운 혼이 우는 것이냐  지조 높은 개는 밤을 새워 어둠을 짖는다. 어둠을 짖는 개는 나를 쫓는 것일 게다.  가자 가자 쫓기우는 사람처럼 가자 백골 몰래 아름다운 또 다른 고향에 가자.		또 다른 고향	하늘과 바람과 별과 시	윤동주	불쌍함/연민, 비장함, 공포/무서움, 슬픔, 서러움, 의심/불신, 깨달음, 기대감	힘듦/지침, 놀람, 서러움, 슬픔, 감동/감탄, 존경, 죄책감, 패배/자기혐오, 비장함, 아껴주는	절망, 깨달음, 서러움, 힘듦/지침, 안타까움/실망	슬픔, 힘듦/지침, 절망, 기대감, 안타까움/실망, 불안/걱정	공포/무서움, 당황/난처, 놀람, 불안/걱정, 비장함
6	6	계절이 지나가는 하늘에는 가을로 가득 차 있습니다.  나는 아무 걱정도 없이 가을 속의 별들을 다 헤일 듯합니다...  가슴 속에 하나 둘 새겨지는 별을 이제 다 못 헤는 것은 쉬이 아침이 오는 까닭이요, 내일 밤이 남은 까닭이요, 아직 나의 청춘이 다하지 않은 까닭입니다.  별 하나에 추억과 별 하나에 사랑과 별 하나에 쓸쓸함과 별 하나에 동경과 별 하나에 시와 별 하나에 어머니, 어머니		별 헤는 밤	하늘과 바람과 별과 시	윤동주	흐뭇함(귀여움/예쁨), 감동/감탄, 아껴주는, 슬픔, 기쁨, 기대감, 깨달음, 환영/호의, 존경	감동/감탄, 기대감, 서러움, 슬픔, 비장함, 아껴주는, 흐뭇함(귀여움/예쁨), 안타까움/실망, 깨달음, 존경	흐뭇함(귀여움/예쁨), 기대감, 안타까움/실망, 서러움, 슬픔	감동/감탄, 기쁨, 흐뭇함(귀여움/예쁨), 행복, 아껴주는, 편안/쾌적	존경, 감동/감탄, 신기함/관심, 깨달음, 서러움, 슬픔, 안타까움/실망
7	6	어머님, 나는 별 하나에 아름다운 말 한 마디씩 불러 봅니다. 소학교 때 책상을 같이했던 아이들의 이름과, 패, 경, 옥 이런 이국 소녀들의 이름과, 벌써 아기 어머니 된 계집애들의 이름과, 가난한 이웃 사람들의 이름과, 비둘기, 강아지, 토끼, 노새, 노루, '프랑시스 잠', '라이너 마리아 릴케', 이런 시인의 이름을 불러 봅니다.  이네들은 너무나 멀리 있습니다. 별이 아스라이 멀 듯이,  어머님, 그리고 당신은 멀리 북간도에 계십니다  나는 무엇인지 그리워 이 많은 별빛이 내린 언덕 위에 내 이름자를 써 보고, 흙으로 덮어 버리었습니다.  딴은, 밤을 새워 우는 벌레는 부끄러운 이름을 슬퍼하는 까닭입니다.  그러나 겨울이 지나고 나의 별에도 봄이 오면 무덤 위에 파란 잔디가 피어나듯이 내 이름자 묻힌 언덕 위에도 자랑처럼 풀이 무성할 게외다.		별 헤는 밤	하늘과 바람과 별과 시	윤동주	아껴주는, 슬픔, 부끄러움, 불쌍함/연민, 존경, 감동/감탄, 고마움, 흐뭇함(귀여움/예쁨), 환영/호의	아껴주는, 흐뭇함(귀여움/예쁨), 환영/호의, 서러움, 슬픔, 깨달음, 죄책감, 부끄러움, 불쌍함/연민, 기대감	안타까움/실망, 서러움, 기대감, 슬픔, 깨달음	불안/걱정, 서러움, 슬픔, 존경, 환영/호의	서러움, 슬픔, 존경
8	7	살구나무 그늘로 얼굴을 가리고, 병원 뒤뜰에 누워, 젊은 여자가 흰 옷 아래로 하얀 다리를 드러내 놓고 일광욕을 한다. 한나절이 기울도록 가슴을 앓는 다는 이 여자를 찾아오는 이, 나비 한 마리도 없다. 슬프지도 않은 살구나무 가지에는 바람조차 없다.  나도 모를 아픔을 오래 참다 처음으로 이 곳에 찾아 왔다. 그러나 나의 늙은 의사는 젊은이의 병을 모른다. 나한테는 병이 없다고 한다. 이 지나친 시련, 이 지나친 피로, 나는 성내서는 안 된다.  여자는 자리에서 일어나 옷깃을 여미고 화단에서 금잔화 한 포기를 따 가슴에 꽂고 병실 안으로 사라진다. 나는 그 여자의 건강이 ---- 아니 내 건강도 속히 회복되기를 바라며 그가 누웠던 자리에 누워 본다.		병원	하늘과 바람과 별과 시	윤동주	불쌍함/연민, 슬픔, 서러움, 안타까움/실망, 힘듦/지침, 패배/자기혐오, 부담/안_내킴, 불안/걱정, 지긋지긋, 절망	신기함/관심, 불쌍함/연민, 서러움, 슬픔, 안타까움/실망, 당황/난처, 힘듦/지침, 화남/분노, 아껴주는, 불안/걱정	안타까움/실망, 서러움, 힘듦/지침, 고마움, 기대감	서러움, 불안/걱정, 불평/불만, 화남/분노, 의심/불신, 증오/혐오	신기함/관심, 불안/걱정, 불평/불만, 불쌍함/연민
9	8	잃어버렸습니다.  무얼 어디다 잃었는지 몰라  두 손의 호주머니를 더듬어  길에 나갑니다.  돌과 돌과 돌이 끝없이 연달아  길은 돌담을 끼고 갑니다.  담은 쇠문을 굳게 담아  길 위에 긴 그림자를 드리우고  길은 아침에서 저녁으로  저녁에서 아침으로 통했습니다.  돌담을 더듬어 눈물짓다  쳐다 보면 하늘은 부끄럽게 푸릅니다.  풀 한 포기 없는 이 길을 걷는 것은  담 저 쪽에 내가 남아 있는 까닭이고  내가 사는 것은 다만  잃은 것을 찾는 까닭입니다. (1941.9.31)		길	하늘과 바람과 별과 시	윤동주	당황/난처, 슬픔, 안타까움/실망, 부끄러움, 부담/안_내킴, 깨달음, 패배/자기혐오, 불안/걱정	당황/난처, 불안/걱정, 놀람, 서러움, 슬픔, 부끄러움, 감동/감탄, 죄책감, 깨달음, 비장함	안타까움/실망, 서러움, 슬픔, 깨달음, 힘듦/지침	당황/난처, 불안/걱정, 슬픔, 힘듦/지침	불안/걱정, 비장함, 당황/난처, 깨달음
10	9	세상으로부터 돌아오듯이 이제 내 좁은방에 돌아와 불을 끄옵니다. 불을 켜 두는 것은 너무나 피로롭은 일이옵니다. 그것은 낮의 연장(延長)이옵기에-  이제 창(窓)을 열어 공기(空氣)를 바꾸어 들여야 할터인데 밖을 가만히 내다 보아야 방(房)안과 같이 어두어 꼭 세상 같은데 비를 맞고 오던 길이 그대로 비속에 젖어 있사옵니다.  하로의 울분을 씻을바 없어 가만히 눈을 감으면 마음속으로 흐르는 소리,  이제,  사상(思想)이 능금처럼 저절로 익어 가옵니다.		돌아와 보는 밤	하늘과 바람과 별과 시	윤동주	힘듦/지침, 서러움, 기대감, 깨달음, 슬픔, 비장함	힘듦/지침, 불안/걱정, 부담/안_내킴, 공포/무서움, 불쌍함/연민, 서러움, 슬픔, 화남/분노, 깨달음, 감동/감탄	힘듦/지침, 깨달음, 편안/쾌적, 슬픔, 불안/걱정	서러움, 슬픔, 힘듦/지침, 불안/걱정	힘듦/지침, 서러움, 깨달음
